spades ace
spades jack
spades queen
spades king
diamonds ace
diamonds jack
diamonds queen
diamonds king
clubs ace                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
clubs jack
clubs queen
clubs king
hearts ace
hearts jack
hearts queen
hearts king
